,crew,seat,scenario,gaze_variance_control,gaze_variance_event1,gaze_variance_event2,gaze_vel_avg_control,gaze_vel_avg_event1,gaze_vel_avg_event2,gaze_vel_std_control,gaze_vel_std_event1,gaze_vel_std_event2,headHeading_avg_control,headHeading_avg_event1,headHeading_avg_event2,headHeading_std_control,headHeading_std_event1,headHeading_std_event2,pupilD_avg_control,pupilD_avg_event1,pupilD_avg_event2,pupilD_std_control,pupilD_std_event1,pupilD_std_event2
10,3.0,0.0,7.0,0.3867354653348452,0.0,0.0,430.47090259388034,0.0,0.0,856.1437414945738,0.0,0.0,0.39845076008744784,0.0,0.0,87.09818141664294,0.0,0.0,0.004861398709142857,0.0,0.0,0.0028345615525886153,0.0,0.0
11,3.0,1.0,7.0,0.32693894157912695,0.0,0.0,447.1198902256103,0.0,0.0,634.9320245721528,0.0,0.0,1.1958852793116135,0.0,0.0,182.97312067857405,0.0,0.0,0.0041618920182857145,0.0,0.0,0.0012030210281486601,0.0,0.0
0,4.0,0.0,1.0,0.072999450887179,0.0,0.002406888483414499,165.00566814915464,397.1154425740085,329.79013244731954,389.2499304004562,715.4780232700618,679.5157133853878,-2.663074580159417,-0.17755743432291118,-0.35937802226138943,217.2316547678955,161.71757331572607,44.81114205847981,0.0028658075364721486,0.0040948457018723,0.0037572892282044276,0.0019306507506182003,0.003755461517724555,0.004531260285748532
1,4.0,1.0,1.0,0.09698803623070641,0.0,0.0,344.5086311248201,284.79146857926,252.07074617257302,535.3493031957074,452.7401774688403,402.63944701302665,0.6973938184983914,0.8682122958995357,1.4545591600105987,83.09287485074222,92.86565904982668,159.40868611421064,0.0034002498297384122,0.0035316085737018424,0.0042687773218997365,0.0013266394356075634,0.0013519089803976638,0.0011409657151818487
2,4.0,0.0,2.0,0.015828514833226028,0.3171266014690857,0.005246537711872378,146.08295011691962,204.50922112936806,165.2364084143632,308.82660614870895,397.3180438130552,371.91495226612375,0.39371904999391094,-1.4073222129355822,-0.42861160735203696,185.01014446966315,287.57784529182567,96.92545984926716,0.002995232531030445,0.003925745145408163,0.002984752537578887,0.0012790204952355438,0.002557396293369843,0.001129208441952316
3,4.0,1.0,2.0,0.07487000973488575,0.336660706847734,0.8105995108199433,196.6947182605928,454.9542995218989,553.2317223611577,285.574267528876,1155.0630429455477,726.0800673397804,0.18513045344970713,-0.1555111438203674,0.6761976428909791,79.12550131688225,166.69791607366056,143.80940685535046,0.0035866910722748813,0.004559056224832215,0.0037993618821603927,0.0015790488067265044,0.0030909867309526664,0.0019576539456459987
4,4.0,0.0,3.0,0.06060062781219105,0.0410266623042365,0.026283048537967268,272.5187286868467,297.0378444355589,252.508228251819,685.8037070415797,723.8912344947105,574.2893235622685,0.09568146303604838,0.09920872787441792,-0.37482308280894105,151.50565979215654,151.50451133053642,43.60213375761762,0.0035777889157413453,0.003656231941260745,0.0033370907765934306,0.0014276698837827537,0.001468431983949026,0.001954000836180259
5,4.0,1.0,3.0,0.438439669257132,0.12742803581377682,0.41031901305392704,193.5282112157061,201.79118115284243,240.8041439416491,368.46311370178404,377.70812500580536,384.15242946470374,0.7658337031834364,0.5858771899389997,1.3068939414183143,68.08152776574866,68.84028321326556,170.75610976164026,0.0037541757491262135,0.003784198099518459,0.0037723339495579823,0.0015829620623971654,0.001621372699739885,0.0014143841176604156
6,4.0,0.0,5.0,0.03333680582924019,0.03133817428989286,0.03133817428989286,132.27964347293488,142.05039701290409,142.05039701290409,289.2629030873439,319.32711935381883,319.32711935381883,-8.48110383453284,-4.711058305322494,-4.711058305322494,360.38482827232554,254.08389580512156,254.08389580512156,0.0031868057025751075,0.0029257270298672566,0.0029257270298672566,0.0018882761970926997,0.0010450473398492266,0.0010450473398492266
7,4.0,1.0,5.0,0.10883000068791766,0.12183816706015974,0.12183816706015974,307.6107281971216,329.5854790582541,329.5854790582541,558.4238671929912,576.0858573532598,576.0858573532598,0.1840988100370362,0.09387642882064169,0.09387642882064169,101.27285393809025,139.0906047694756,139.0906047694756,0.004010186671454219,0.004770524413580247,0.004770524413580247,0.002499431290481549,0.0028419226497622247,0.0028419226497622247
