Subject,Crew,Seat,Run #,Scenario ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
602,6,right,4,3,4,4,4,4,5,4,3,3,nan,4,4,nan,nan,4,5,4
602,6,right,5,5,3,nan,3,4,4,3,3,3,nan,3,3,nan,3,3,4,4
701,7,left,0,7,5,5,5,5,5,5,5,nan,5,5,nan,nan,5,5,5,5
701,7,left,1,1,4,4,4,4,4,5,5,nan,5,5,nan,4,5,5,4,nan
701,7,left,2,5,4,nan,5,4,5,5,5,5,4,5,5,5,5,5,4,5
701,7,left,3,2,5,5,5,nan,5,5,5,nan,5,nan,nan,nan,5,5,5,5
701,7,left,4,6,2,2,4,4,4,nan,4,nan,4,4,nan,4,nan,4,3,4
701,7,left,5,3,3,4,4,4,4,nan,4,3,5,5,nan,4,4,4,3,4
702,7,right,0,7,5,5,4,5,5,4,5,5,5,5,5,5,nan,nan,5,4
702,7,right,1,1,5,5,4,4,4,3,4,4,5,5,4,4,4,4,5,4
702,7,right,2,5,5,5,4,4,4,5,4,5,5,5,3,4,4,4,3,4
702,7,right,3,2,5,4,4,4,5,4,4,3,5,5,4,4,5,4,4,5
702,7,right,4,6,4,4,4,4,4,4,3,3,4,5,3,3,nan,nan,3,5
702,7,right,5,3,3,3,3,5,4,3,3,3,4,5,4,4,4,3,4,5
801,8,left,0,7,3,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2
801,8,left,1,5,3,nan,3,3,nan,nan,nan,3,3,4,3,nan,nan,3,3,4
801,8,left,2,2,4,nan,4,3,3,3,3,3,3,nan,nan,nan,4,4,4,4
801,8,left,3,3,4,nan,4,4,nan,3,3,3,4,4,4,nan,4,nan,4,4
801,8,left,4,6,4,4,4,4,3,nan,nan,nan,4,4,4,4,3,3,3,4
801,8,left,5,1,4,nan,4,4,nan,nan,nan,nan,4,nan,3,nan,nan,4,2,nan
802,8,right,0,7,5,5,5,5,5,5,5,nan,4,nan,5,5,nan,5,5,nan
802,8,right,1,5,4,4,3,3,5,5,5,4,4,4,3,3,5,5,4,4
802,8,right,2,2,5,5,5,nan,5,5,5,5,5,5,5,5,5,5,5,5
802,8,right,3,3,5,nan,5,3,3,5,5,4,4,4,3,3,4,4,4,4
802,8,right,4,6,5,5,4,3,3,4,nan,4,2,2,4,4,nan,3,2,4
802,8,right,5,1,4,5,4,5,5,3,nan,nan,4,5,4,2,5,3,3,4
901,9,left,0,7,5,3,5,5,nan,nan,nan,nan,5,5,nan,nan,nan,nan,4,nan
901,9,left,1,3,3,3,4,4,4,nan,4,3,4,4,nan,nan,4,nan,3,3
901,9,left,2,2,4,nan,4,4,nan,2,4,nan,3,4,nan,nan,4,4,3,4
901,9,left,3,6,5,4,4,5,nan,nan,nan,4,4,4,4,3,4,4,4,4
901,9,left,4,1,4,4,4,4,4,nan,4,3,3,4,3,4,4,4,4,4
901,9,left,5,5,2,2,3,3,nan,nan,nan,3,4,4,3,nan,3,3,2,2
902,9,right,0,7,5,5,4,4,5,nan,nan,5,5,5,nan,nan,nan,nan,5,5
902,9,right,1,3,4,4,5,4,nan,nan,5,5,4,3,nan,nan,5,nan,nan,4
902,9,right,2,2,5,4,nan,5,nan,nan,5,4,4,nan,nan,4,5,nan,4,nan
